Classe,x,y,z
0,0.0975523,0.833898,0.461693
0,0.108097,0.809773,0.46391
0,0.090248,0.801033,0.462274
0,0.0903671,0.820748,0.467891
0,0.0951193,0.82801,0.453047
0,0.111435,0.820972,0.465219
0,0.0801378,0.818363,0.460661
0,0.10588,0.83429,0.472529
0,0.0970688,0.823018,0.469021
0,0.0848882,0.825856,0.467106
0,0.082789,0.830455,0.478888
0,0.101322,0.829797,0.482172
0,0.0943276,0.830133,0.476509
0,0.10448,0.833473,0.46659
0,0.08689,0.821218,0.445311
0,0.109783,0.841356,0.464645
0,0.106026,0.815077,0.472167
0,0.110811,0.832881,0.462276
0,0.112162,0.8265,0.467588
0,0.101422,0.81012,0.474431
0,0.105363,0.823249,0.466365
0,0.106812,0.827861,0.463831
0,0.114122,0.821174,0.467671
0,0.103988,0.832304,0.465688
0,0.117939,0.818382,0.483754
0,0.102345,0.829996,0.484481
0,0.102104,0.829516,0.472055
0,0.115399,0.827219,0.488931
0,0.104557,0.834804,0.47685
0,0.117231,0.844112,0.497502
0,0.114937,0.822183,0.488139
0,0.12419,0.831836,0.475322
0,0.116775,0.832565,0.482961
0,0.107988,0.828431,0.493779
0,0.126815,0.826063,0.458191
0,0.114241,0.828265,0.482901
0,0.104195,0.83703,0.500137
0,0.11911,0.827435,0.471294
0,0.114164,0.8403,0.483683
0,0.12223,0.821906,0.49317
0,0.123941,0.826035,0.472505
0,0.122034,0.824262,0.486681
0,0.123759,0.822815,0.485613
0,0.129575,0.834243,0.494143
0,0.1044,0.820829,0.482722
0,0.132749,0.830815,0.473867
0,0.135034,0.819097,0.481883
0,0.106987,0.835197,0.48082
0,0.122473,0.826752,0.484326
0,0.137854,0.816638,0.493965
0,0.119248,0.831072,0.486683
0,0.114928,0.823626,0.485505
0,0.121646,0.822214,0.476059
0,0.118692,0.822106,0.488392
0,0.132301,0.807383,0.477335
0,0.130089,0.83295,0.500569
0,0.122129,0.824014,0.508949
0,0.129444,0.832836,0.502253
0,0.137228,0.834071,0.48078
0,0.148229,0.813092,0.491743
0,0.142262,0.825957,0.487984
0,0.13306,0.816764,0.486272
0,0.134081,0.827963,0.503811
0,0.128348,0.841931,0.495317
0,0.127389,0.819598,0.508094
0,0.134615,0.815685,0.495678
0,0.122504,0.813099,0.498452
0,0.143824,0.821557,0.510143
0,0.12456,0.811258,0.490007
0,0.141545,0.817706,0.500644
0,0.130571,0.837726,0.50484
0,0.126715,0.823367,0.498419
0,0.139413,0.826433,0.517866
0,0.130408,0.817767,0.490495
0,0.141658,0.821624,0.506367
0,0.142023,0.834281,0.498935
0,0.135296,0.827054,0.510819
0,0.141565,0.819526,0.489109
