Classe,x,y,z
0,0.206975,0.181422,0.30862
0,0.177896,0.201839,0.309204
0,0.202263,0.205808,0.334335
0,0.20583,0.169654,0.331463
0,0.190743,0.188132,0.312468
0,0.201517,0.192718,0.323076
0,0.200711,0.185369,0.320782
0,0.196193,0.172929,0.31075
0,0.178381,0.192009,0.336095
0,0.187914,0.184259,0.342529
0,0.209126,0.209192,0.340753
0,0.189335,0.205717,0.337855
0,0.183073,0.173148,0.320958
0,0.193198,0.197835,0.330622
0,0.217492,0.191972,0.344716
0,0.199997,0.206873,0.332998
0,0.181765,0.186655,0.335918
0,0.180645,0.170749,0.349843
0,0.194665,0.211281,0.371798
0,0.17805,0.202478,0.355353
0,0.172505,0.191373,0.368043
0,0.169225,0.206046,0.345003
0,0.166769,0.201586,0.352134
0,0.167921,0.215829,0.357534
0,0.177129,0.226578,0.364927
0,0.145537,0.200878,0.353514
0,0.177886,0.19318,0.358327
0,0.171403,0.215181,0.359711
0,0.167913,0.213439,0.345446
0,0.180482,0.214863,0.364443
0,0.148844,0.226136,0.368937
0,0.172693,0.19511,0.366601
0,0.14951,0.224986,0.362431
0,0.149821,0.204611,0.377635
0,0.170864,0.20742,0.37023
0,0.129084,0.214392,0.367141
0,0.169029,0.186198,0.368944
0,0.144128,0.212646,0.385518
0,0.148722,0.210371,0.387281
0,0.140255,0.194362,0.373242
0,0.148188,0.215949,0.368616
0,0.139288,0.203649,0.392368
0,0.163313,0.220544,0.382153
0,0.152379,0.214591,0.392718
0,0.133118,0.21807,0.388773
0,0.137351,0.191563,0.387214
0,0.134353,0.207687,0.377847
0,0.130818,0.220331,0.397873
0,0.117256,0.206607,0.371624
0,0.145944,0.210181,0.388628
0,0.134006,0.192808,0.388188
0,0.104869,0.222003,0.391049
0,0.130309,0.202277,0.409474
0,0.106937,0.219964,0.383442
0,0.116986,0.191099,0.380611
0,0.126793,0.210565,0.408651
0,0.131248,0.227791,0.403585
0,0.131977,0.200766,0.416587
0,0.140447,0.215217,0.399995
0,0.112788,0.20438,0.406856
0,0.120783,0.203985,0.409857
0,0.117054,0.230725,0.414677
0,0.111482,0.204977,0.422826
0,0.101505,0.206517,0.415463
0,0.118716,0.198474,0.409372
0,0.0961127,0.211757,0.404785
0,0.100552,0.196908,0.399979
0,0.115952,0.213548,0.406127
0,0.102951,0.189816,0.417976
0,0.099174,0.203993,0.423353
0,0.119709,0.200493,0.408217
0,0.0956951,0.192406,0.42865
0,0.109467,0.213026,0.40964
0,0.0858896,0.187756,0.417165
0,0.102299,0.200309,0.419088
0,0.0858309,0.213072,0.406579
0,0.100347,0.175619,0.403751
0,0.0733123,0.177316,0.406947
0,0.0748167,0.214046,0.415583
0,0.0789696,0.211686,0.413999
0,0.0929114,0.186462,0.410882
0,0.0678187,0.1918,0.40413
0,0.0768693,0.181737,0.416616
0,0.0744018,0.172624,0.417494
0,0.0932611,0.180554,0.432772
0,0.0843141,0.193215,0.408291
0,0.0713984,0.185528,0.414992
0,0.0927608,0.170583,0.411875
0,0.0518854,0.162187,0.422973
0,0.0924032,0.161922,0.434591
0,0.064934,0.171021,0.424231
0,0.0680252,0.20738,0.434572
0,0.059888,0.154755,0.425673
0,0.0623861,0.175633,0.40857
0,0.0598256,0.16555,0.435953
0,0.0639373,0.18827,0.41698
0,0.0571942,0.179634,0.420631
0,0.038628,0.140083,0.403786
0,0.0458318,0.146608,0.441706
0,0.0760898,0.157215,0.449052
0,0.0516799,0.16164,0.417213
0,0.0460695,0.144592,0.437428
0,0.0334322,0.167945,0.429972
0,0.0456483,0.170631,0.43319
0,0.0456939,0.144117,0.427765
0,0.0337616,0.154382,0.426988
0,0.0750825,0.146078,0.418968
0,0.0306754,0.140666,0.441917
0,0.0399569,0.139505,0.43868
0,0.0381078,0.140056,0.424984
0,0.0555002,0.150034,0.420745
0,0.0475722,0.143402,0.441986
0,0.0292004,0.140493,0.423967
0,0.0463324,0.13521,0.42696
0,0.0549422,0.153834,0.406516
0,0.0282832,0.13339,0.420212
0,0.0498272,0.135402,0.429649
0,0.0318192,0.141464,0.414294
0,0.0253129,0.14644,0.43821
0,0.0384145,0.1348,0.418827
0,0.0238824,0.151717,0.432056
0,0.0321088,0.128848,0.443921
0,0.0418069,0.120975,0.427576
0,0.0330412,0.126606,0.403485
0,0.019181,0.118547,0.437985
0,0.0320988,0.122004,0.409581
0,0.032502,0.122102,0.43026
0,0.0254058,0.122177,0.416826
0,0.0319818,0.123715,0.394924
0,0.0106714,0.129742,0.397547
0,0.00648479,0.0868476,0.428775
0,0.0135016,0.101205,0.423469
0,0.00556529,0.0922188,0.425622
0,0.0228982,0.112774,0.409344
0,0.0121431,0.117226,0.410336
0,0.0239502,0.0810388,0.404392
0,0.00705562,0.0998674,0.40506
0,0.0158216,0.0848032,0.4013
0,0.0203847,0.0771783,0.416533
0,0.021433,0.0747513,0.412466
0,0.0266245,0.0710942,0.410656
0,0.00499411,0.0928072,0.411088
0,0.00520242,0.0926016,0.402146
0,0.0371338,0.111008,0.394573
0,0.0295218,0.0670502,0.418529
0,0.00784213,0.0911928,0.411803
0,0.00905405,0.0893676,0.41604
0,0.00561344,0.0820946,0.412788
0,0.0138388,0.0621934,0.397162
0,0.0257531,0.0885771,0.394718
0,0.0148587,0.0685132,0.401295
0,0.0219818,0.0828896,0.398331
0,0.019826,0.0639643,0.411194
0,0.0280699,0.0699423,0.397257
0,0.0251854,0.0654099,0.393767
0,0.0190704,0.0658264,0.39503
0,0.0399568,0.0730068,0.42047
0,0.0308225,0.0526449,0.40168
0,0.0305065,0.0401153,0.395611
0,0.0116912,0.0277755,0.405857
0,0.0367729,0.0367681,0.400792
0,0.0443951,0.0429366,0.399958
0,0.0316008,0.0447327,0.372979
0,0.0184842,0.0555271,0.394555
0,0.0394086,0.0434975,0.405927
0,0.0228555,0.0450858,0.397591
0,0.043338,0.0322441,0.382385
0,0.0220005,0.0358508,0.409218
0,0.0283864,0.045269,0.377664
0,0.0249822,0.0275636,0.388426
0,0.0512443,0.0344101,0.372941
0,0.0184321,0.0390771,0.398471
0,0.0362451,0.0363791,0.410344
0,0.0566351,0.0338276,0.390567
0,0.024882,0.0364633,0.401471
0,0.0313708,0.013651,0.371026
0,0.0337669,0.0191035,0.385766
0,0.0397118,0.031701,0.404375
0,0.0572161,0.0314517,0.390819
0,0.0387598,0.00872057,0.3878
0,0.0396904,0.00945449,0.366595
0,0.0520179,0.0263332,0.375575
0,0.0498536,0.0146509,0.380466
0,0.0311277,0.0203263,0.38615
0,0.0477947,0.0163306,0.387974
0,0.0607464,0,0.381929
0,0.0709425,0.0216614,0.380627
0,0.0565352,0,0.378757
0,0.0596591,0.0171588,0.377178
0,0.0686874,0,0.358019
0,0.0629117,0,0.372754
0,0.0797621,0,0.386178
0,0.071534,0.00625258,0.388294
0,0.0735122,0.00490021,0.363468
0,0.0663066,0.00479317,0.380753
0,0.0568829,0,0.358436
0,0.0816747,0,0.386892
0,0.0761233,0,0.368075
0,0.0915671,0,0.365812
0,0.0842272,0,0.34139
0,0.092456,0,0.378184
0,0.075661,0,0.372123
0,0.0622558,0,0.35457
0,0.0812607,0,0.357515
0,0.100346,0,0.367862
0,0.0929331,0,0.375067
0,0.0781339,0,0.36849
0,0.104357,0,0.369768
0,0.0894719,0,0.373955
0,0.0881196,0.00645478,0.377139
0,0.104815,0.00562044,0.363655
0,0.0850411,0,0.365867
0,0.0972371,0,0.370042
0,0.111892,0,0.353708
0,0.097145,0,0.360466
0,0.0880177,0,0.360625
0,0.0997894,0,0.374712
0,0.121972,0,0.345275
0,0.107515,0,0.353283
0,0.112541,0,0.356537
0,0.121074,0,0.362981
0,0.130366,0.000990163,0.360958
0,0.12838,0.0033209,0.376472
0,0.103067,0,0.380344
